,Producto,MAE,MSE,R2,SMAPE,MAPE lib,MAPE2,MAPE3,valor real,valor predecido,error
0,Producto 273,48.840042453348744,3435.755726221566,0.48155645862829133,26.741804634185463,0.27405730886583024,0.07308194903088806,0.27405730886583024,1585.5,1502.1716598516768,5.255650592767149
0,Producto 0,34.29561091239442,3017.404290405207,-0.05602879993182652,67.11776473484724,1.0745841156004403,0.2865557641601174,1.0745841156004403,392.0,345.86844352365017,11.768254203150466
0,Producto 1,13.392476505725025,211.90294220927058,-1.009228238289317,61.31204644026003,1.4208568205991874,0.3788951521597833,1.4208568205991874,164.5,233.7886192994099,-42.12074121544675
0,Producto 5,4.5855382415146675,41.088805135691416,-0.3501134789804907,26.421687894720396,0.4100187673305774,0.10933833795482065,0.4100187673305774,150.5,173.3318438488131,-15.170660364659863
0,Producto 8,10.08732738280821,117.35114087270526,-2.855973824080676,111.97043966974695,1.7275718283436216e+16,0.3646409963714535,5.203383777434684,45.5,126.19861906246568,-177.3596023350894
0,Producto 21,13.46472513357526,318.7855555979875,-51.046621322120416,118.02071936179928,3.1502471549408136e+16,0.45953055238074375,8.718193420778158,28.0,120.14371354707762,-329.08469123956297
0,Producto 12,3.2779760070533257,13.451169081947768,-3.68503304078725,109.8815264761972,0.6680354279030479,0.1781427807741461,0.6680354279030479,38.5,12.276191943573393,68.11378715954962
0,Producto 22,3.423491297090755,13.692747066556727,-9.21965961818811,175.37890669422103,1.5357389441100528e+16,0.0010259676923230821,3.4138728499752258,3.5,30.88793037672604,-782.5122964778868
0,Producto 186,6.141932429892079,46.296216003368556,-0.38213776056703797,130.35932232302673,1.6087244007190592e+16,0.0694388214588715,3.832481320379981,38.5,52.124168929464304,-35.387451764842346
0,Producto 20,1.6727031389441982,3.994914668774916,-1.9816272746541648,175.0,5562860396275958.0,0.03333333333333333,1.360203138944198,3.5,9.881625111553584,-182.3321460443881
0,Producto 33,3.438004433018869,15.128475045444254,0.16801512102390348,94.68101370678599,4093078028736123.0,0.10585823993358315,1.3058142935689752,38.5,36.10811850469161,6.21267920859322
0,Producto 245,2.454919130978259,8.602838278654826,-0.40454502508650214,107.75829622521499,1938684420768991.5,0.10576215128445547,0.8270824836006718,28.0,15.248237612717347,45.542008526009475
0,Producto 16,2.347237673621664,6.94661467365753,-1.4195011652467042,136.30306701745877,9039540129958956.0,0.02590907099131135,2.1043401330781197,10.5,24.891022581776447,-137.05735792168045
0,Producto 17,3.420978752532778,16.35108099876959,0.23726735865797832,121.28597212785532,8752811167052592.0,0.044776401091942815,2.1114260016663806,28.0,32.35643370077954,-15.558691788498358
0,Producto 38,1.8376544026337638,3.9497311067776364,-0.7196108219984267,174.9552900261421,5676613165702788.0,0.04397661523375672,1.4253736348172947,7.0,12.466146021981201,-78.08780031401716
0,Producto 134,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,Producto 37,1.9472527541551914,6.1637640489367715,-0.038791044455440016,176.98048313887014,4459824641316176.0,0.046063540970520934,1.163018279155423,10.5,10.766457975013981,-2.5376950001331573
0,Producto 59,1.494169465770688,2.5677947963770507,0.10563881922105445,148.73912784714776,3893828091435003.5,0.04796692918567727,1.0444795046549638,10.5,14.775885702561038,-40.72272097677179
0,Producto 248,3.8804927974447088,19.83609547318573,-0.6192730998518963,101.33850608894537,1.0755784419534646e+16,0.08099537736441949,2.6919965672109507,28.0,48.356869648602846,-72.70310588786731
0,Producto 122,0.7780145453716857,0.7981204253744163,0.0,175.0,3503866016624749.5,0.0,0.7780145453716857,0.0,6.2241163629734855,-inf
