,Producto,MAE,MSE,R2,SMAPE,MAPE lib,MAPE2,MAPE3,valor real,valor predecido,error,error por semana
0,Producto 273,95.79375377833861,15217.656038072822,-0.17191585594559045,38.71404377987125,1.4516180019427503,1.5000052686741754,1.4516180019427503,8452.5,6935.372538655429,17.948860826318498,4.4872152065796245
0,Producto 0,18.286359481070665,1003.4748786015489,-0.07516703914793843,45.93155894028418,0.8522956852472604,0.8807055414221691,0.8522956852472604,1186.5,1316.8976882835232,-10.99011279254304,-2.74752819813576
0,Producto 1,12.395970308907234,220.38984574880237,-0.02912848282118108,56.56887605763696,3898878709510390.0,0.8944369891067723,1.7313091657104043,731.5,810.692673176514,-10.826066052838543,-2.706516513209636
0,Producto 5,7.568829352289874,101.83702095458277,-0.1204783139634662,38.74356895899384,3745069388581336.5,0.47357189860762905,1.2898678385536897,651.0,697.1758641466049,-7.093066689186623,-1.7732666722966557
0,Producto 8,6.164464413374098,59.02443975485148,0.2560399952204465,57.23984163533514,5250339167787613.0,0.6471565867030431,1.792090054010957,399.0,444.53464791520395,-11.412192459950864,-2.853048114987716
0,Producto 21,3.2180369250646645,15.420350538964211,-0.3264372420286974,115.20071753056881,3110623956864530.0,0.3973683577679468,1.075247291218722,133.0,76.06408591247936,42.80895796054184,10.70223949013546
0,Producto 12,2.0200736297485715,7.477568790906991,0.053858642783196964,76.98984986952527,4449879086156288.0,0.14867058504650218,1.1319464033721538,108.5,107.33280236301788,1.0757581907669342,0.26893954769173356
0,Producto 22,3.1030920642991133,13.229093971355057,-0.33394463107625083,130.60467285258616,1.018220233872978e+16,0.11564052011137214,2.3728132763229244,70.0,118.64880797439191,-69.49829710627417,-17.37457427656854
0,Producto 186,5.286273400740185,38.35034783053303,-0.32069607300145986,90.90310841091028,9108969086483172.0,0.43995120772839946,2.448356675368028,203.0,233.81453635588525,-15.179574559549385,-3.7948936398873463
0,Producto 20,1.4156769450613422,2.9904097017639506,0.13751989093782835,145.0066654051469,3537358582277474.5,0.16392223128930442,0.9440858062567168,35.0,39.81200081365657,-13.748573753304477,-3.4371434383261192
0,Producto 33,3.1681263510727136,16.999201763641835,0.040597099112623436,93.02226687846559,5977555568896625.0,0.2492429410706178,1.5684868109104435,129.5,131.6097790664349,-1.6291730242740512,-0.4072932560685128
0,Producto 245,4.503595438548397,35.648433986998704,-0.16621487503211063,118.3207986996801,7030730659841806.0,0.29580130968851465,1.8473951436555058,150.5,113.32120875386043,24.703515778165826,6.175878944541457
0,Producto 16,3.445023073827573,27.862516713966947,-0.06519785822183377,113.13438699143997,4851343508713231.0,0.2539103273873661,1.3229343244130376,126.0,85.99159318171161,31.75270382403841,7.938175956009602
0,Producto 17,3.1434146941043655,13.631635912785928,0.038320209059809374,124.15071015869168,7073510933734572.0,0.2066990300820462,1.7706662601482206,101.5,102.55891318976437,-1.0432642263688356,-0.2608160565922089
0,Producto 38,1.7838795013675597,3.6493132029943713,-0.9085659799061716,174.61334071645936,6531855515444557.0,0.09846669470868447,1.545653627072355,21.0,55.62225865357061,-164.86789835033625,-41.21697458758406
0,Producto 134,1.1753954027257,2.2427831408236027,-4.864801628112877,198.8493948177125,4834819697725260.0,0.03006993299882476,1.1026455648253175,3.5,33.6225715547435,-860.6449015641001,-215.16122539102503
0,Producto 37,1.8104274308366377,3.6817645610479617,-0.5043264214145804,183.10053825570003,6778934770551443.0,0.06709363357997931,1.5701552157589878,17.5,54.70075500632272,-212.57574289327272,-53.14393572331818
0,Producto 59,2.2901277676857505,9.88909987900643,-0.20464253818293576,153.70392051190692,2667132651666327.5,0.3243065607002069,0.9060674746640368,73.5,39.22382898889957,46.63424627360603,11.658561568401508
0,Producto 248,4.312378120624002,24.8629175002534,-1.1720161554241644,103.23938640126566,9044034598577286.0,0.5410250000746646,2.531751670086825,112.0,198.22492827928912,-76.98654310650814,-19.246635776627034
0,Producto 122,1.1355700993626288,1.3712557914490429,0.0,200.0,5114153076342612.0,0.0,1.1355700993626288,0.0,35.20267308024149,-inf,-inf
