Fecha,Producto 273,Producto 0,Producto 1,Producto 5,Producto 8,Producto 21,Producto 12,Producto 22,Producto 186,Producto 20,Producto 33,Producto 245,Producto 16,Producto 17,Producto 38,Producto 134,Producto 37,Producto 59,Producto 248,Producto 122
2022-02-01,0.0,17.5,84.0,10.5,10.5,7.0,7.0,0.0,0.0,3.5,0.0,0.0,3.5,0.0,7.0,0.0,0.0,0.0,0.0,0.0
2022-02-02,0.0,17.5,87.5,17.5,10.5,3.5,7.0,0.0,0.0,0.0,3.5,0.0,14.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,0.0,24.5,63.0,7.0,0.0,10.5,7.0,7.0,0.0,31.5,0.0,0.0,31.5,0.0,3.5,0.0,7.0,0.0,0.0,0.0
2022-02-04,0.0,7.0,108.5,0.0,3.5,14.0,3.5,7.0,0.0,0.0,0.0,0.0,3.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-05,0.0,21.0,21.0,10.5,14.0,3.5,7.0,0.0,0.0,3.5,3.5,0.0,3.5,14.0,0.0,0.0,3.5,0.0,0.0,0.0
2022-02-06,0.0,7.0,10.5,10.5,10.5,3.5,3.5,0.0,0.0,10.5,0.0,0.0,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0
2022-02-07,0.0,17.5,80.5,7.0,0.0,7.0,3.5,3.5,0.0,3.5,3.5,0.0,0.0,7.0,0.0,0.0,3.5,0.0,3.5,0.0
2022-02-08,0.0,28.0,17.5,10.5,7.0,0.0,10.5,0.0,0.0,7.0,0.0,0.0,7.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-09,0.0,24.5,17.5,10.5,3.5,0.0,3.5,3.5,0.0,3.5,0.0,0.0,3.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,0.0,7.0,28.0,3.5,10.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-11,0.0,28.0,14.0,7.0,3.5,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0
2022-02-12,0.0,17.5,21.0,7.0,0.0,0.0,17.5,10.5,0.0,3.5,0.0,0.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,0.0,14.0,14.0,7.0,3.5,0.0,3.5,7.0,0.0,3.5,0.0,0.0,10.5,31.5,7.0,0.0,10.5,0.0,0.0,0.0
2022-02-14,0.0,7.0,59.5,7.0,3.5,7.0,0.0,10.5,0.0,0.0,3.5,0.0,3.5,0.0,0.0,0.0,10.5,0.0,0.0,0.0
2022-02-15,0.0,14.0,21.0,10.5,10.5,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.5,14.0,0.0,0.0,7.0,0.0,0.0,0.0
2022-02-16,0.0,10.5,287.0,7.0,3.5,10.5,7.0,3.5,0.0,0.0,3.5,0.0,3.5,10.5,0.0,0.0,0.0,3.5,0.0,0.0
2022-02-17,0.0,3.5,14.0,0.0,0.0,3.5,3.5,0.0,0.0,3.5,3.5,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,0.0,7.0,35.0,17.5,0.0,0.0,3.5,0.0,0.0,0.0,3.5,0.0,7.0,3.5,0.0,0.0,3.5,3.5,0.0,0.0
2022-02-19,0.0,35.0,77.0,3.5,10.5,0.0,14.0,3.5,0.0,7.0,3.5,0.0,7.0,14.0,0.0,0.0,0.0,3.5,0.0,0.0
2022-02-20,0.0,21.0,21.0,10.5,10.5,3.5,0.0,7.0,0.0,0.0,10.5,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-21,0.0,21.0,42.0,7.0,17.5,3.5,7.0,7.0,0.0,7.0,3.5,0.0,0.0,10.5,3.5,0.0,0.0,0.0,0.0,0.0
2022-02-22,0.0,17.5,287.0,10.5,14.0,3.5,3.5,3.5,0.0,7.0,3.5,0.0,3.5,49.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-23,0.0,28.0,49.0,3.5,10.5,0.0,7.0,3.5,0.0,3.5,3.5,0.0,0.0,3.5,0.0,0.0,3.5,0.0,0.0,0.0
2022-02-24,0.0,21.0,7.0,7.0,3.5,7.0,0.0,10.5,0.0,0.0,0.0,0.0,7.0,3.5,7.0,0.0,0.0,0.0,0.0,0.0
2022-02-25,0.0,45.5,14.0,17.5,0.0,0.0,0.0,7.0,0.0,0.0,3.5,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-26,0.0,7.0,17.5,10.5,24.5,10.5,7.0,3.5,0.0,14.0,3.5,0.0,3.5,3.5,0.0,0.0,3.5,0.0,0.0,0.0
2022-02-27,0.0,24.5,21.0,10.5,7.0,0.0,7.0,7.0,0.0,0.0,10.5,0.0,3.5,3.5,3.5,0.0,0.0,3.5,0.0,0.0
2022-02-28,0.0,21.0,28.0,3.5,7.0,0.0,7.0,3.5,0.0,10.5,7.0,0.0,7.0,10.5,0.0,0.0,0.0,3.5,0.0,0.0
2022-03-01,0.0,10.5,17.5,0.0,7.0,0.0,3.5,3.5,0.0,3.5,0.0,0.0,3.5,10.5,3.5,0.0,0.0,0.0,0.0,0.0
2022-03-02,0.0,21.0,35.0,10.5,3.5,14.0,0.0,3.5,0.0,0.0,0.0,0.0,3.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,0.0,10.5,28.0,3.5,7.0,0.0,3.5,0.0,0.0,3.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-04,0.0,10.5,28.0,10.5,0.0,3.5,0.0,3.5,3.5,7.0,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-05,0.0,42.0,17.5,7.0,24.5,7.0,7.0,0.0,0.0,3.5,7.0,0.0,14.0,21.0,0.0,0.0,3.5,0.0,0.0,0.0
2022-03-06,0.0,24.5,17.5,7.0,7.0,14.0,21.0,0.0,0.0,3.5,3.5,0.0,0.0,21.0,3.5,0.0,0.0,3.5,0.0,0.0
2022-03-07,0.0,31.5,17.5,7.0,10.5,3.5,0.0,0.0,0.0,0.0,3.5,0.0,3.5,17.5,3.5,0.0,0.0,0.0,0.0,0.0
2022-03-08,0.0,10.5,14.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.5,10.5,3.5,0.0,0.0,0.0,0.0,0.0
2022-03-09,0.0,7.0,21.0,3.5,3.5,3.5,0.0,10.5,0.0,3.5,3.5,0.0,0.0,10.5,3.5,0.0,3.5,0.0,0.0,0.0
2022-03-10,0.0,31.5,17.5,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,0.0,14.0,31.5,17.5,3.5,0.0,0.0,3.5,0.0,3.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,0.0,31.5,21.0,7.0,10.5,7.0,7.0,21.0,0.0,10.5,0.0,0.0,10.5,7.0,3.5,0.0,3.5,3.5,0.0,0.0
2022-03-13,0.0,10.5,10.5,10.5,10.5,17.5,14.0,7.0,0.0,7.0,3.5,0.0,3.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,0.0,28.0,38.5,3.5,10.5,3.5,0.0,0.0,0.0,0.0,3.5,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,0.0,35.0,17.5,10.5,7.0,0.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,24.5,3.5,0.0,0.0,0.0,0.0,0.0
2022-03-16,0.0,42.0,10.5,49.0,3.5,7.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,7.0,3.5,0.0,0.0,0.0,0.0,0.0
